formula,aic,rSquare,warn
route ~ + distance + maritalStatus + origin + passengers,27.40856032,0.66063,
route ~ + age + distance + modelYear + passengers,25.3032038,0.70167,
route ~ + distance + origin + sex + travelTime,28.58153529,0.63776,
route ~ + distance + modelYear + origin + seatBelts,28.46074497,0.64012,
route ~ + children + distance + modelYear + origin + travelTime,28.95728928,0.66943,
route ~ + children + lights + modelYear + sex + travelTime,36.3898596,0.52453,
route ~ + distance + maritalStatus + modelYear + seatBelts,28.46970837,0.63994,
route ~ + lights + origin + travelTime,39.5654301,0.38465,
route ~ + age + lights + origin,38.56314337,0.40419,
route ~ + children + distance + income + origin + travelTime,31.13978594,0.62688,
route ~ + age + distance + income + maritalStatus + seatBelts,28.19115442,0.68436,
route ~ + flowRate + income + origin + seatBelts + travelTime,24.91599942,0.74821,
route ~ + distance + modelYear + origin + passengers + sex,27.48090193,0.69821,
route ~ + children + flowRate + travelTime,24.18940314,0.6844,
route ~ + distance + income + maritalStatus + modelYear,28.49158774,0.63952,
route ~ + children + flowRate + maritalStatus + modelYear,23.34727092,0.7398,
route ~ + age + children + distance + origin + passengers,26.0459508,0.72618,
route ~ + distance + income + maritalStatus + sex + travelTime,30.16736129,0.64584,
route ~ + distance + income + seatBelts + sex + travelTime,30.17001948,0.64579,
route ~ + flowRate + modelYear + origin + passengers + seatBelts,24.39041916,0.75846,
route ~ + flowRate + income + lights + passengers + sex,21.77651208,0.80941,
route ~ + income + lights + modelYear,37.15795602,0.43158,
route ~ + children + lights + maritalStatus + modelYear + origin,39.44946864,0.46489,
route ~ + age + distance + passengers,24.31763924,0.6819,
route ~ + flowRate + income + origin + sex,25.61441929,0.69561,
route ~ + age + children + distance + income + passengers,26.04433996,0.72621,
route ~ + flowRate + modelYear + origin + seatBelts + sex,24.44426166,0.75741,
route ~ + children + lights + modelYear + travelTime,38.27658666,0.44876,
route ~ + age + income + lights + modelYear + passengers,37.05075229,0.51165,
route ~ + age + distance + maritalStatus + seatBelts,26.87480733,0.67103,
route ~ + children + distance + income + passengers + sex,29.57301697,0.65742,
route ~ + children + flowRate + lights + passengers,20.77417722,0.78996,
route ~ + flowRate + maritalStatus + modelYear + passengers,23.25208314,0.74166,
route ~ + age + distance + income + origin + travelTime,26.34062889,0.72044,
route ~ + distance + maritalStatus + origin + seatBelts + travelTime,30.22481638,0.64472,
route ~ + children + distance + modelYear + origin + seatBelts,29.80638119,0.65287,
route ~ + flowRate + lights + maritalStatus + origin + passengers,22.03673526,0.80434,
route ~ + age + children + distance + passengers + seatBelts,26.12750344,0.72459,
route ~ + lights + maritalStatus + modelYear + sex,35.86845972,0.49571,
route ~ + flowRate + maritalStatus + modelYear + sex,23.36316498,0.73949,
route ~ + age + children + lights + origin + travelTime,40.26839334,0.44892,
route ~ + flowRate + maritalStatus + seatBelts + travelTime,24.80705863,0.71134,
route ~ + flowRate + sex + travelTime,24.18685678,0.68445,
route ~ + income + lights + maritalStatus + modelYear + origin,39.40336626,0.46579,
route ~ + age + distance + income + passengers,25.68468212,0.69424,
route ~ + age + income + lights + origin + sex,40.60889755,0.44229,
route ~ + children + distance + income + origin,29.85013769,0.61303,
route ~ + income + lights + maritalStatus + modelYear + travelTime,39.31029323,0.4676,
route ~ + age + distance + origin + passengers + travelTime,25.62480709,0.73439,
route ~ + flowRate + income + modelYear + seatBelts,23.70782927,0.73277,
route ~ + flowRate + income + maritalStatus + origin,25.13703584,0.70491,
route ~ + children + flowRate + income + lights + maritalStatus,22.42467083,0.79678,
route ~ + age + distance + passengers + seatBelts + travelTime,25.65576425,0.73379,
route ~ + children + distance + maritalStatus + origin + seatBelts,30.44357129,0.64045,
route ~ + lights + modelYear + seatBelts + sex,35.8832111,0.49542,
route ~ + flowRate + maritalStatus + origin + seatBelts,25.13223277,0.70501,
route ~ + children + distance + flowRate,13.47421547,0.89328,
route ~ + distance + origin + seatBelts + sex,28.65603639,0.63631,
route ~ + children + flowRate + modelYear + sex + travelTime,23.76778078,0.77059,
route ~ + flowRate + income + maritalStatus + modelYear + seatBelts,24.99996835,0.74657,
route ~ + distance + income + modelYear + seatBelts + travelTime,29.27129396,0.66331,
route ~ + flowRate + maritalStatus + seatBelts,24.75244435,0.67342,
route ~ + flowRate + income + lights + passengers + seatBelts,21.50723839,0.81466,
route ~ + flowRate + income,24.10987336,0.64696,
route ~ + flowRate + modelYear + passengers + sex + travelTime,23.75147313,0.77091,
route ~ + children + flowRate + lights + passengers + sex,21.73182838,0.81028,
route ~ + age + lights + modelYear + origin + seatBelts,38.44578331,0.48445,
route ~ + age + income + lights + sex + travelTime,40.47839084,0.44483,
route ~ + children + flowRate + income + maritalStatus + travelTime,26.57341488,0.7159,
route ~ + children + flowRate + maritalStatus + modelYear + origin,24.44048511,0.75748,
route ~ + age + distance + income + passengers + sex,23.7569173,0.77081,
route ~ + distance + modelYear + passengers + seatBelts + sex,27.74303345,0.6931,
route ~ + flowRate + seatBelts,24.12424722,0.64668,
route ~ + flowRate + maritalStatus + origin + seatBelts + sex,26.62516812,0.71489,
route ~ + distance + income + travelTime,28.9014187,0.59254,
route ~ + age + children + lights + sex,39.48900456,0.42513,
route ~ + children + flowRate + maritalStatus + origin,25.09076542,0.70581,
route ~ + children + distance + modelYear + seatBelts,28.55434977,0.63829,
route ~ + income + lights + modelYear + sex,35.88433623,0.4954,
route ~ + age + lights + origin + sex,39.53445068,0.42424,
route ~ + children + flowRate + modelYear + origin + passengers,24.44643057,0.75736,
route ~ + children + flowRate + income + maritalStatus + modelYear,25.12016382,0.74423,
route ~ + children + distance + origin + seatBelts + sex,30.12624494,0.64664,
route ~ + flowRate + maritalStatus + passengers + travelTime,24.77515068,0.71197,
route ~ + flowRate + seatBelts + travelTime,24.20876672,0.68402,
route ~ + flowRate + income + lights + maritalStatus + passengers,22.43493122,0.79658,
route ~ + children + flowRate + modelYear + origin + sex,24.48105182,0.75669,
route ~ + distance + income + maritalStatus + sex,29.07529618,0.62814,
route ~ + children + flowRate + maritalStatus + modelYear + seatBelts,24.99259162,0.74672,
route ~ + flowRate + income + origin + passengers + travelTime,24.93952007,0.74775,
route ~ + distance + income + modelYear + origin,28.54801497,0.63842,
route ~ + children + flowRate + maritalStatus + origin + sex,26.5935568,0.71551,
route ~ + flowRate + income + maritalStatus + sex + travelTime,26.62397541,0.71491,
route ~ + distance + income + passengers + sex + travelTime,29.5900315,0.65709,
route ~ + lights + modelYear + passengers + sex,35.3043663,0.50671,
route ~ + children + flowRate + maritalStatus + sex + travelTime,26.58008068,0.71577,
route ~ + children + flowRate + origin + seatBelts + sex,27.10984737,0.70544,
route ~ + children + lights + maritalStatus + modelYear + sex,37.5057232,0.50278,
route ~ + lights + maritalStatus + modelYear + passengers + travelTime,38.0798342,0.49159,
route ~ + age + distance + modelYear + passengers + seatBelts,27.02517374,0.70709,
route ~ + flowRate + maritalStatus + modelYear + passengers + seatBelts,24.91082496,0.74831,
route ~ + age + distance + modelYear + origin + seatBelts,27.84756905,0.69106,
route ~ + flowRate + maritalStatus + modelYear + seatBelts + sex,25.06085364,0.74539,
route ~ + flowRate + income + modelYear + origin + passengers,24.67848887,0.75284,
route ~ + lights + maritalStatus + modelYear + seatBelts + travelTime,39.43734203,0.46512,
route ~ + age + distance + income + origin + seatBelts,28.42943511,0.67972,
route ~ + distance + modelYear + passengers,26.11294881,0.6469,
route ~ + age + lights + maritalStatus + modelYear + passengers,37.37662285,0.5053,
route ~ + children + flowRate,24.11373084,0.64688,
route ~ + flowRate + modelYear + seatBelts + sex,23.73486765,0.73225,
route ~ + flowRate + maritalStatus + modelYear + origin + passengers,24.54662082,0.75541,
route ~ + flowRate + income + travelTime,24.21095038,0.68398,
route ~ + flowRate + income + maritalStatus + origin + sex,26.66259506,0.71416,
route ~ + children + distance + income + modelYear + travelTime,29.35387819,0.6617,
route ~ + children + flowRate + maritalStatus + seatBelts + travelTime,26.60761466,0.71523,
route ~ + flowRate + income + modelYear + origin + sex,24.72028647,0.75202,
route ~ + children + distance + maritalStatus + origin + travelTime,30.22036108,0.6448,
route ~ + children + distance + income + modelYear + origin,29.86682499,0.6517,
route ~ + children + flowRate + origin + seatBelts,25.65677033,0.69478,
route ~ + flowRate + passengers + travelTime,24.11890047,0.68577,
route ~ + flowRate + income + maritalStatus + modelYear + passengers,25.05776077,0.74545,
route ~ + distance + income + maritalStatus + origin + passengers,29.16115768,0.66545,
route ~ + flowRate + maritalStatus + modelYear + origin + sex,24.58460918,0.75467,
route ~ + children + distance + origin + travelTime,29.74205058,0.61514,
route ~ + children + flowRate + maritalStatus + passengers + travelTime,26.57683941,0.71583,
route ~ + distance + modelYear + passengers + seatBelts + travelTime,28.46475266,0.67903,
route ~ + children + flowRate + modelYear + passengers + travelTime,23.79850438,0.76999,
route ~ + flowRate + modelYear + passengers + seatBelts,23.6025655,0.73483,
route ~ + flowRate + maritalStatus + origin + passengers,25.0842055,0.70594,
route ~ + age + income + lights + sex,39.71093588,0.4208,
route ~ + distance + income + modelYear + passengers + travelTime,28.51446479,0.67806,
route ~ + distance + income + seatBelts + sex,29.08954696,0.62786,
route ~ + age + children + lights + modelYear + passengers,37.63780438,0.5002,
route ~ + children + flowRate + modelYear + sex,23.68521326,0.73321,
route ~ + children + flowRate + modelYear + passengers,23.5678948,0.7355,
route ~ + distance + maritalStatus + origin + passengers + travelTime,29.11171466,0.66642,
route ~ + distance + maritalStatus + sex,27.94527064,0.61118,
route ~ + flowRate + income + maritalStatus + modelYear + sex,25.17588907,0.74314,
route ~ + children + distance + origin + sex + travelTime,30.13618528,0.64644,
route ~ + age + distance + maritalStatus + passengers + seatBelts,26.87487162,0.71002,
route ~ + age + lights + maritalStatus + travelTime,39.92251299,0.41668,
route ~ + children + distance + income + modelYear,28.59259637,0.63755,
route ~ + children + flowRate + income + modelYear + seatBelts,25.26715602,0.74136,
route ~ + children + flowRate + income + lights + passengers,22.51678041,0.79498,
route ~ + age + lights + origin + travelTime,39.7456294,0.42013,
route ~ + distance + maritalStatus + modelYear + passengers + seatBelts,28.68516661,0.67473,
route ~ + children + lights + sex + travelTime,40.46128914,0.40617,
route ~ + age + children + lights + origin,39.65904187,0.42181,
route ~ + children + flowRate + modelYear + passengers + seatBelts,25.11688711,0.74429,
route ~ + age + lights + modelYear + origin + travelTime,38.55934216,0.48224,
route ~ + distance + modelYear + origin + passengers + travelTime,28.51445189,0.67806,
route ~ + children + flowRate + maritalStatus,24.81869698,0.67213,
route ~ + flowRate + maritalStatus + origin + passengers + sex,26.62155967,0.71496,
route ~ + age + distance + income + passengers + travelTime,25.721472,0.73251,
route ~ + age + children + income + lights + origin,40.7980501,0.4386,
route ~ + children + distance + seatBelts + sex,29.52209929,0.61943,
route ~ + age + lights + maritalStatus,38.87152662,0.39818,
route ~ + income + lights + origin + sex + travelTime,41.42553534,0.42637,
route ~ + children + flowRate + modelYear + seatBelts + sex,25.2871741,0.74097,
route ~ + flowRate + origin + passengers,24.13032619,0.68555,
route ~ + age + children + lights + passengers + travelTime,39.43097251,0.46525,
route ~ + age + children + lights + maritalStatus + travelTime,40.4232333,0.4459,
route ~ + distance + income + passengers + sex,28.44269075,0.64047,
route ~ + flowRate + origin + passengers + sex,25.61024631,0.69569,
route ~ + distance + origin + passengers + sex,28.30576272,0.64314,
route ~ + children + flowRate + origin + seatBelts + travelTime,25.10839685,0.74446,
route ~ + children + distance + modelYear + passengers,27.74334776,0.6541,
route ~ + flowRate + origin + passengers + seatBelts + travelTime,25.0971343,0.74468,
route ~ + children + distance + modelYear + seatBelts + travelTime,29.35272812,0.66172,
route ~ + children + flowRate + lights + maritalStatus + passengers,22.60537491,0.79325,
route ~ + age + income + lights + maritalStatus + origin,41.11911866,0.43234,
route ~ + children + distance + origin + passengers + sex,29.86017386,0.65183,
route ~ + children + distance + flowRate + sex,15.41030112,0.89453,
route ~ + children + distance + origin + seatBelts,29.98043339,0.61049,
route ~ + age + distance + origin + seatBelts,27.17334847,0.66521,
route ~ + lights + maritalStatus + modelYear + origin + seatBelts,39.65058904,0.46097,
route ~ + children + lights + modelYear + origin + travelTime,39.7312476,0.45939,
route ~ + distance + seatBelts + sex,27.96229968,0.61085,
route ~ + age + distance + income + origin + passengers,27.55170036,0.69683,
route ~ + children + flowRate + income + origin,25.70490718,0.69384,
route ~ + distance + income + modelYear + seatBelts,28.90961636,0.63137,
route ~ + flowRate + maritalStatus + seatBelts + sex,26.50962591,0.67815,
route ~ + age + distance + income + passengers + seatBelts,27.60573313,0.69577,
route ~ + children + flowRate + origin + passengers + travelTime,25.10287703,0.74457,
route ~ + children + distance + modelYear + origin + passengers,29.35155063,0.66174,
route ~ + children + lights + maritalStatus + modelYear,38.6011474,0.44244,
route ~ + flowRate + income + maritalStatus,24.83131852,0.67188,
route ~ + children + lights + modelYear + seatBelts + sex,37.62080465,0.50054,
route ~ + distance + income + modelYear + origin + seatBelts,30.38550884,0.64158,
route ~ + children + flowRate + income + origin + sex,27.21464258,0.7034,
route ~ + flowRate + maritalStatus + seatBelts + sex + travelTime,26.72765443,0.71289,
route ~ + age + income + lights + maritalStatus + travelTime,41.22339643,0.43031,
route ~ + lights + origin + passengers + sex + travelTime,39.57376317,0.46246,
route ~ + children + flowRate + origin + passengers,25.61337831,0.69563,
route ~ + distance + income + origin + seatBelts + travelTime,31.58829426,0.61814,
route ~ + age + lights + modelYear + passengers,36.60849671,0.48128,
route ~ + distance + maritalStatus + origin + passengers + seatBelts,29.35864608,0.6616,
route ~ + lights + maritalStatus + modelYear + origin + passengers,38.67918454,0.4799,
route ~ + flowRate + maritalStatus + passengers,24.59403744,0.67651,
route ~ + age + income + lights + maritalStatus,40.08491918,0.41351,
route ~ + children + flowRate + origin + passengers + sex,27.15390602,0.70458,
route ~ + flowRate + maritalStatus + passengers + sex + travelTime,26.69162521,0.71359,
route ~ + distance + income + maritalStatus + modelYear + seatBelts,30.40803025,0.64115,
route ~ + children + flowRate + income + modelYear + passengers,25.43273573,0.73814,
route ~ + flowRate + income + maritalStatus + origin + seatBelts,27.09998023,0.70563,
route ~ + children + distance + maritalStatus + modelYear + seatBelts,30.25563022,0.64412,
route ~ + children + distance + maritalStatus + origin + passengers,29.34996594,0.66177,
route ~ + flowRate + income + maritalStatus + seatBelts + travelTime,26.74137361,0.71262,
route ~ + flowRate + modelYear + origin + passengers + sex,24.79584786,0.75055,
route ~ + children + flowRate + income + modelYear + sex,25.56476044,0.73556,
route ~ + flowRate + income + origin + seatBelts + sex,27.53074322,0.69724,
route ~ + flowRate + income + maritalStatus + passengers + travelTime,26.70563727,0.71332,
route ~ + children + distance + maritalStatus + modelYear + passengers,28.81511967,0.6722,
route ~ + children + distance + sex + travelTime,29.52325808,0.6194,
route ~ + children + flowRate + income + maritalStatus + origin,27.05517325,0.70651,
route ~ + children + distance + income,29.19214899,0.58687,
route ~ + distance + income + maritalStatus + origin + seatBelts,30.77082451,0.63407,
route ~ + age + distance + origin + passengers,26.20043789,0.68418,
route ~ + children + distance + income + travelTime,30.63467281,0.59774,
route ~ + flowRate + income + modelYear + sex,23.90613006,0.72891,
route ~ + distance + origin + seatBelts + travelTime,30.0365904,0.6094,
route ~ + children + distance + maritalStatus + sex,29.5678543,0.61854,
route ~ + lights + modelYear + seatBelts + travelTime,38.43901348,0.4456,
route ~ + age + income + modelYear,50.4621281,0.17222,
route ~ + flowRate + income + modelYear + passengers,23.79321863,0.73111,
route ~ + distance + maritalStatus,27.65524297,0.57784,
route ~ + distance + modelYear + passengers + seatBelts,27.91950727,0.65067,
route ~ + flowRate + seatBelts + sex,25.81495668,0.65271,
route ~ + children + flowRate + maritalStatus + modelYear + passengers,25.23338964,0.74202,
route ~ + age + lights + modelYear + passengers + seatBelts,38.02081116,0.49274,
route ~ + children + flowRate + sex,25.79779122,0.65304,
route ~ + distance + income + maritalStatus + modelYear + passengers,28.84985699,0.67152,
route ~ + children + distance + income + maritalStatus + modelYear,30.2854081,0.64354,
route ~ + age + children + income + lights + sex,40.99602268,0.43474,
route ~ + age + distance + modelYear + origin + passengers,27.29036839,0.70192,
route ~ + children + flowRate + maritalStatus + modelYear + sex,25.34619826,0.73982,
route ~ + children + income + lights + modelYear + sex,37.65988789,0.49977,
route ~ + children + distance + modelYear + passengers + travelTime,28.70560564,0.67433,
route ~ + age + income + lights + origin + seatBelts,41.25944232,0.4296,
route ~ + children + distance + seatBelts,29.21371682,0.58645,
route ~ + flowRate + maritalStatus + modelYear + passengers + sex,25.24970596,0.7417,
route ~ + distance + modelYear + origin + passengers,27.89397031,0.65117,
route ~ + income + lights + origin + travelTime,41.23836641,0.39103,
route ~ + distance + income + maritalStatus + passengers + sex,30.18223455,0.64555,
route ~ + children + lights + origin + sex + travelTime,41.54760035,0.42399,
route ~ + children + lights + travelTime,40.20078333,0.37226,
route ~ + flowRate + income + modelYear + passengers + seatBelts,25.56669296,0.73552,
route ~ + distance + income + origin,28.63004159,0.59783,
route ~ + children + distance + travelTime,29.01624335,0.5903,
route ~ + flowRate + income + origin + seatBelts,26.11323043,0.68588,
route ~ + distance + maritalStatus + travelTime,29.11784085,0.58832,
route ~ + flowRate + origin + passengers + seatBelts + sex,27.48738521,0.69808,
route ~ + age + income + lights + origin + passengers,39.78601077,0.45833,
route ~ + distance + seatBelts + travelTime,29.1303113,0.58808,
route ~ + flowRate + modelYear + passengers + sex,23.79808815,0.73101,
route ~ + distance + passengers + sex,27.25423605,0.62465,
route ~ + distance + income + maritalStatus + travelTime,30.77647147,0.59497,
route ~ + lights + modelYear + origin + seatBelts + travelTime,39.84403555,0.4572,
route ~ + age + lights + maritalStatus + origin + travelTime,41.34729158,0.42789,
route ~ + flowRate + income + modelYear + seatBelts + sex,25.70725953,0.73278,
route ~ + children + lights + maritalStatus + modelYear + travelTime,39.52584145,0.4634,
route ~ + children + flowRate + maritalStatus + origin + seatBelts,27.07770398,0.70607,
route ~ + distance + income + origin + passengers + travelTime,30.69860026,0.63548,
route ~ + children + distance + income + origin + seatBelts,31.81926036,0.61363,
route ~ + distance + income + maritalStatus + passengers + travelTime,30.76030425,0.63428,
route ~ + age + lights + maritalStatus + origin,40.23769106,0.41053,
route ~ + flowRate + maritalStatus + passengers + seatBelts + travelTime,26.76898711,0.71209,
route ~ + children + lights + modelYear + passengers + sex,37.07442499,0.51119,
route ~ + distance + origin + seatBelts + sex + travelTime,30.57910218,0.63781,
route ~ + children + flowRate + maritalStatus + sex,26.59455203,0.6765,
route ~ + age + lights + passengers + sex + travelTime,39.47976904,0.4643,
route ~ + children + income + lights + modelYear + travelTime,39.98812482,0.45439,
route ~ + children + flowRate + income + origin + seatBelts,27.64081318,0.69509,
route ~ + flowRate + income + origin + passengers + sex,27.53360853,0.69718,
route ~ + distance + origin + seatBelts,28.63531951,0.59773,
route ~ + children + flowRate + maritalStatus + seatBelts,26.72569387,0.67394,
route ~ + distance + maritalStatus + sex + travelTime,29.7383704,0.61521,
route ~ + income + lights + maritalStatus + modelYear,38.65032864,0.44148,
route ~ + flowRate + income + maritalStatus + origin + passengers,27.06824251,0.70625,
route ~ + age + children + lights + origin + sex,41.03665959,0.43395,
route ~ + children + distance + origin + seatBelts + travelTime,31.68928933,0.61617,
route ~ + lights + maritalStatus + origin + travelTime,41.24054226,0.39098,
route ~ + flowRate + income + sex,25.848581,0.65205,
route ~ + age + lights + maritalStatus + sex + travelTime,40.87679317,0.43706,
route ~ + children + income + lights + modelYear + origin,40.16168607,0.451,
route ~ + flowRate + modelYear + passengers + seatBelts + sex,25.59655032,0.73494,
route ~ + distance + income + seatBelts + travelTime,30.81661825,0.59419,
route ~ + flowRate + income + maritalStatus + sex,26.59783569,0.67643,
route ~ + flowRate + maritalStatus + passengers + sex,26.36998603,0.68088,
route ~ + lights + seatBelts + sex + travelTime,40.60204903,0.40343,
route ~ + flowRate + maritalStatus + origin + passengers + seatBelts,27.06854869,0.70625,
route ~ + distance + seatBelts,27.68828876,0.5772,
route ~ + lights + modelYear + passengers + travelTime,37.71203744,0.45977,
route ~ + children + flowRate + sex + travelTime,26.16991491,0.68478,
route ~ + children + flowRate + seatBelts + travelTime,26.18523222,0.68448,
route ~ + children + flowRate + maritalStatus + origin + passengers,27.02680887,0.70706,
route ~ + children + distance + modelYear + passengers + seatBelts,29.63171383,0.65628,
route ~ + flowRate + origin + passengers + seatBelts,26.03603185,0.68739,
route ~ + age + distance + passengers + seatBelts,26.31089485,0.68203,
route ~ + age + lights + seatBelts + sex + travelTime,40.90237398,0.43656,
route ~ + lights + maritalStatus + travelTime,40.2100932,0.37208,
route ~ + distance + modelYear + origin + passengers + seatBelts,29.68761325,0.65519,
route ~ + age + children + income + lights + seatBelts,41.26927583,0.42941,
route ~ + children + flowRate + modelYear + passengers + sex,25.56565545,0.73554,
route ~ + age + lights + modelYear + passengers + travelTime,38.16167085,0.48999,
route ~ + flowRate + income + origin + passengers,26.04744866,0.68716,
route ~ + lights + modelYear + origin + passengers + travelTime,38.98828023,0.47388,
route ~ + children + flowRate + income + travelTime,26.1876742,0.68443,
route ~ + age + children + lights + seatBelts,39.91737265,0.41678,
route ~ + children + distance + passengers + sex,28.9623207,0.63034,
route ~ + distance + seatBelts + sex + travelTime,29.75774548,0.61483,
route ~ + lights + origin + seatBelts + sex + travelTime,41.61246577,0.42272,
route ~ + age + children + lights + passengers,38.7964176,0.43863,
route ~ + children + distance + income + seatBelts + travelTime,32.49474848,0.60047,
route ~ + flowRate + seatBelts + sex + travelTime,26.18382164,0.68451,
route ~ + lights + passengers + sex + travelTime,39.04387978,0.43381,
route ~ + children + distance + income + modelYear + seatBelts,30.5499398,0.63838,
route ~ + children + distance + origin + passengers,29.28181379,0.62411,
route ~ + lights + maritalStatus + modelYear + passengers,37.84544858,0.45717,
route ~ + flowRate + income + sex + travelTime,26.18531556,0.68448,
route ~ + age + lights + modelYear + origin + passengers,38.21741475,0.48891,
route ~ + age + children + income + modelYear,51.00125845,0.2007,
route ~ + lights + maritalStatus + modelYear + seatBelts,38.70140421,0.44048,
route ~ + distance + income + maritalStatus + seatBelts + sex,31.07372585,0.62817,
route ~ + income + lights + modelYear + passengers + travelTime,39.25608525,0.46866,
route ~ + flowRate + income + maritalStatus + seatBelts + sex,28.4897557,0.67854,
route ~ + age + children + income + lights + passengers,39.98993237,0.45435,
route ~ + distance + origin + passengers + sex + travelTime,30.21705429,0.64487,
route ~ + children + lights + modelYear,37.34855127,0.42787,
route ~ + distance + income + modelYear + passengers,28.08398955,0.64746,
route ~ + flowRate + income + maritalStatus + seatBelts,26.7486657,0.67349,
route ~ + children + flowRate + passengers + travelTime,26.10104751,0.68612,
route ~ + age + income + lights + passengers + travelTime,40.04100835,0.45336,
route ~ + lights + modelYear + origin + seatBelts,38.69021566,0.4407,
route ~ + children + flowRate + origin + passengers + seatBelts,27.5743963,0.69639,
route ~ + flowRate + passengers + sex + travelTime,26.08908603,0.68635,
route ~ + distance + origin + passengers + travelTime,29.21667908,0.62538,
route ~ + flowRate + passengers,23.9306938,0.65045,
route ~ + distance + income + passengers + travelTime,29.406253,0.62169,
route ~ + lights + modelYear + seatBelts,37.34721734,0.42789,
route ~ + income + lights + origin + sex,41.10929196,0.39354,
route ~ + lights + maritalStatus + origin + passengers + travelTime,40.99004048,0.43485,
route ~ + age + income + lights + passengers,38.81971043,0.43818,
route ~ + lights + origin + seatBelts + sex,41.0831655,0.39405,
route ~ + distance + income,27.70627385,0.57685,
route ~ + income + lights + modelYear + origin + seatBelts,40.18892264,0.45047,
route ~ + children + lights + origin + travelTime,41.35860284,0.38868,
route ~ + children + flowRate + maritalStatus + seatBelts + sex,28.50072938,0.67833,
route ~ + flowRate + income + seatBelts + travelTime,26.20811436,0.68403,
route ~ + distance + maritalStatus + passengers,27.74773744,0.61503,
route ~ + distance + origin + passengers,27.71485408,0.61567,
route ~ + distance + income + maritalStatus + seatBelts + travelTime,32.65893772,0.59727,
route ~ + lights + modelYear + passengers,36.68409978,0.44082,
route ~ + age + lights + maritalStatus + passengers + travelTime,40.21163098,0.45003,
route ~ + income + lights + maritalStatus + modelYear + sex,37.85568571,0.49596,
route ~ + children + flowRate + seatBelts,26.0240688,0.64863,
route ~ + distance + origin + passengers + seatBelts + sex,30.30100982,0.64323,
route ~ + lights + maritalStatus + origin + sex + travelTime,41.64657704,0.42206,
route ~ + age + children + lights + maritalStatus,39.92030684,0.41672,
route ~ + income + lights + sex + travelTime,40.66262831,0.40225,
route ~ + distance + maritalStatus + passengers + sex,29.00339094,0.62954,
route ~ + children + distance + income + origin + passengers,31.11312253,0.6274,
route ~ + flowRate + passengers + sex,25.61154593,0.65667,
route ~ + income + lights + modelYear + seatBelts + sex,37.86752696,0.49573,
route ~ + lights + maritalStatus + modelYear + passengers + sex,37.25337704,0.5077,
route ~ + children + distance + seatBelts + sex + travelTime,31.47531952,0.62034,
route ~ + children + income + lights + maritalStatus + modelYear,40.44656028,0.44545,
route ~ + income + lights + modelYear + origin + passengers,39.53000413,0.46332,
route ~ + children + distance + seatBelts + travelTime,30.89170246,0.59273,
route ~ + flowRate + maritalStatus + passengers + seatBelts,26.54462576,0.67747,
route ~ + flowRate + passengers + seatBelts + travelTime,26.11848895,0.68578,
route ~ + distance + maritalStatus + passengers + travelTime,29.33483724,0.62308,
route ~ + distance + income + passengers + seatBelts + sex,30.4417449,0.64049,
route ~ + children + distance + maritalStatus + seatBelts + sex,31.51919177,0.61948,
route ~ + flowRate + income + passengers + travelTime,26.11841725,0.68578,
route ~ + children + flowRate + income + maritalStatus,26.81257825,0.67225,
route ~ + children + flowRate + income + origin + passengers,27.61115172,0.69567,
route ~ + age + income + lights + maritalStatus + passengers,40.25346455,0.44921,
route ~ + lights + modelYear + passengers + seatBelts + sex,37.28412438,0.5071,
route ~ + lights + maritalStatus + modelYear + seatBelts + sex,37.8626921,0.49582,
route ~ + distance + income + modelYear + passengers + seatBelts,29.89063522,0.65123,
route ~ + children + distance + income + modelYear + passengers,29.74327641,0.6541,
route ~ + age + income + lights + seatBelts,40.26286891,0.41004,
route ~ + children + lights + modelYear + origin,38.71188057,0.44028,
route ~ + flowRate + income + modelYear + passengers + sex,25.7917375,0.73114,
route ~ + distance + passengers,26.27741186,0.6047,
route ~ + distance + passengers + travelTime,27.82750122,0.61347,
route ~ + age + lights + maritalStatus + seatBelts + travelTime,41.81860925,0.4187,
route ~ + lights + modelYear + origin + passengers,38.03402631,0.45349,
route ~ + distance + passengers + sex + travelTime,29.07378649,0.62817,
route ~ + age + distance + origin + passengers + seatBelts,28.19733204,0.68424,
route ~ + flowRate + maritalStatus + passengers + seatBelts + sex,28.31443845,0.68196,
route ~ + children + distance + income + seatBelts,31.10579068,0.58855,
route ~ + distance + maritalStatus + seatBelts + travelTime,31.01988783,0.59023,
route ~ + income + lights + modelYear + seatBelts + travelTime,40.07409883,0.45271,
route ~ + distance + income + modelYear + origin + passengers,29.8686114,0.65166,
route ~ + children + distance + maritalStatus,29.2944195,0.58488,
route ~ + age + lights + seatBelts + travelTime,40.26035152,0.41009,
route ~ + children + flowRate + seatBelts + sex,27.72980716,0.65437,
route ~ + children + flowRate + maritalStatus + passengers,26.58213304,0.67674,
route ~ + children + flowRate + income,26.04816895,0.64816,
route ~ + income + lights + maritalStatus + origin + travelTime,42.93495062,0.39694,
route ~ + income + lights + origin + seatBelts + sex,42.78030509,0.39995,
route ~ + age + lights + origin + passengers + sex,40.13042061,0.45161,
route ~ + age + income + lights + passengers + sex,40.15729176,0.45109,
route ~ + age + children + income + lights + maritalStatus,41.29836984,0.42884,
route ~ + distance + maritalStatus + seatBelts + sex,29.94150849,0.61125,
route ~ + children + lights + modelYear + passengers + travelTime,39.51427831,0.46362,
route ~ + children + distance + income + passengers + travelTime,31.24541553,0.62482,
