formula,aic,rSquare,warn
route ~ + age + distance + maritalStatus + modelYear + seatBelts,26.2188719,0.72281,
route ~ + distance + flowRate,11.47469795,0.89327,
route ~ + age + children + distance + modelYear + travelTime,23.44362857,0.77691,
route ~ + lights + modelYear + travelTime,36.47845554,0.44483,
route ~ + age + distance + maritalStatus + seatBelts + travelTime,24.72008462,0.75203,
route ~ + age + distance + seatBelts + sex,21.65946552,0.77271,
route ~ + distance + income + modelYear + origin + sex,26.58861239,0.7156,
route ~ + distance + maritalStatus + modelYear,26.5518771,0.63834,
route ~ + distance + income + origin + sex + travelTime,28.36260158,0.68102,
route ~ + age + lights + maritalStatus + modelYear + seatBelts,37.27685415,0.50724,
route ~ + age + children + distance + origin,24.57813916,0.71581,
route ~ + children + distance + modelYear,26.595585,0.63749,
route ~ + flowRate + maritalStatus + modelYear + travelTime,21.29728466,0.77977,
route ~ + flowRate + income + lights + travelTime,18.29034697,0.83838,
route ~ + age + children + distance + income,24.63063315,0.71478,
route ~ + children + flowRate + lights,18.902744,0.78746,
route ~ + age + children + distance + modelYear + seatBelts,25.1597524,0.74346,
route ~ + age + distance + maritalStatus + origin + sex,22.08299457,0.80344,
route ~ + age + income + lights + maritalStatus + modelYear,37.08140508,0.51105,
route ~ + age + children + distance + maritalStatus,24.6201216,0.71499,
route ~ + age + distance + seatBelts + travelTime,24.38205377,0.71963,
route ~ + age + children + income + lights + modelYear,37.15585976,0.5096,
route ~ + children + flowRate + lights + travelTime,18.31507709,0.8379,
route ~ + age + distance + origin + travelTime,24.34212331,0.72041,
route ~ + children + distance + modelYear + origin + sex,26.88613724,0.7098,
route ~ + distance + income + sex + travelTime,28.18100251,0.64557,
route ~ + age + children + distance + origin + sex,20.91229923,0.82626,
route ~ + flowRate + maritalStatus + origin,23.15284617,0.7046,
route ~ + flowRate + income + lights + origin,19.90228196,0.80696,
route ~ + children + flowRate + lights + seatBelts,19.20319344,0.82059,
route ~ + flowRate + maritalStatus + modelYear + seatBelts + travelTime,22.30739298,0.79906,
route ~ + lights + modelYear + origin + sex + travelTime,35.5154791,0.54158,
route ~ + flowRate + lights + maritalStatus + origin + sex,18.26258248,0.87791,
route ~ + flowRate + income + modelYear + travelTime,21.64287358,0.77303,
route ~ + distance + modelYear + seatBelts + sex,25.90257363,0.68999,
route ~ + distance + income + maritalStatus + modelYear + sex,26.96557256,0.70825,
route ~ + distance + income + maritalStatus + origin + travelTime,29.34443475,0.66188,
route ~ + age + distance + maritalStatus + modelYear + origin,25.26416001,0.74142,
route ~ + age + children + distance + seatBelts,24.74305161,0.71259,
route ~ + age + distance + maritalStatus + origin,25.86169093,0.69078,
route ~ + children + flowRate + lights + origin + seatBelts,20.15734673,0.84098,
route ~ + flowRate + maritalStatus + origin + seatBelts + travelTime,23.42372392,0.7773,
route ~ + lights + sex + travelTime,38.68423765,0.40183,
route ~ + flowRate + lights + maritalStatus + sex + travelTime,19.46283026,0.85452,
route ~ + distance + modelYear + seatBelts + sex + travelTime,26.16189541,0.72392,
route ~ + flowRate + modelYear + origin + seatBelts,22.44427332,0.75741,
route ~ + age + distance + maritalStatus + origin + travelTime,24.56325072,0.75509,
route ~ + age + distance + modelYear + origin + travelTime,23.69475372,0.77202,
route ~ + lights + maritalStatus + modelYear + travelTime,37.52893167,0.46334,
route ~ + distance + modelYear + origin + travelTime,27.05675681,0.66749,
route ~ + age + distance + maritalStatus + sex + travelTime,21.96823123,0.80567,
route ~ + flowRate + origin + sex,23.70108442,0.69392,
route ~ + age + distance + income + sex + travelTime,22.18347104,0.80148,
route ~ + flowRate + maritalStatus + modelYear + origin + travelTime,21.84529595,0.80807,
route ~ + age + distance + income + maritalStatus + origin,27.10655624,0.70551,
route ~ + lights + maritalStatus + modelYear,36.72060082,0.44011,
route ~ + distance + modelYear + origin,26.60767633,0.63725,
route ~ + distance + maritalStatus + origin + travelTime,28.25668999,0.6441,
route ~ + flowRate + income + lights + sex,19.79877074,0.80898,
route ~ + age + income + lights,38.28047436,0.4097,
route ~ + age + children + lights + modelYear + sex,35.18745101,0.54797,
route ~ + children + flowRate + modelYear,21.68674699,0.73318,
route ~ + lights + travelTime,38.48478997,0.36673,
route ~ + flowRate + modelYear + seatBelts,21.74147756,0.73212,
route ~ + flowRate + lights + maritalStatus + origin,20.08978273,0.80331,
route ~ + age + distance + income + maritalStatus,26.23692993,0.68347,
route ~ + age + lights + maritalStatus + modelYear + sex,35.20229925,0.54768,
route ~ + children + flowRate + lights + origin + sex,18.03082781,0.88243,
route ~ + age + children + lights + sex + travelTime,39.52795134,0.46336,
route ~ + flowRate + lights + passengers + travelTime,18.39350897,0.83637,
route ~ + age + distance + modelYear + seatBelts,25.87653619,0.6905,
route ~ + age + distance + modelYear + passengers + travelTime,23.15449777,0.78255,
route ~ + children + distance + modelYear + origin,27.86924398,0.65165,
route ~ + age + distance + origin + seatBelts + sex,22.77808048,0.78989,
route ~ + children + distance + origin + sex,28.14270897,0.64632,
route ~ + age + children + lights + modelYear + seatBelts,37.70967791,0.4988,
route ~ + age + children + distance + modelYear + origin,25.34252178,0.73989,
route ~ + lights + modelYear + origin,36.7147302,0.44022,
route ~ + flowRate + income + modelYear + origin + travelTime,22.15180243,0.8021,
route ~ + children + flowRate + income + modelYear + origin,23.90131834,0.76799,
route ~ + flowRate + income + maritalStatus + modelYear + travelTime,22.88176404,0.78787,
route ~ + age + distance + origin,25.17557831,0.66517,
route ~ + children + flowRate + maritalStatus + origin + travelTime,23.60230579,0.77382,
route ~ + flowRate + lights + origin + passengers + sex,18.38298981,0.87557,
route ~ + flowRate + modelYear + sex + travelTime,21.76797948,0.77059,
route ~ + age + distance + income + sex,22.01438239,0.76579,
route ~ + children + flowRate + modelYear + origin,22.48206503,0.75667,
route ~ + flowRate + modelYear + seatBelts + sex + travelTime,22.77918389,0.78987,
route ~ + children + lights + modelYear + origin + sex,36.10485449,0.53009,
route ~ + age + children + modelYear,49.76478665,0.18582,
route ~ + age + lights + modelYear + seatBelts,36.76854969,0.47816,
route ~ + age + children + distance + seatBelts + travelTime,25.58627352,0.73514,
route ~ + age + lights + maritalStatus + modelYear + travelTime,37.65201005,0.49993,
route ~ + age + income + lights + modelYear + travelTime,37.46926844,0.50349,
route ~ + age + children + distance + maritalStatus + origin,26.03660368,0.72636,
route ~ + age + distance + income + origin,26.4335991,0.67964,
route ~ + age + children + distance + maritalStatus + sex,21.20102997,0.82063,
route ~ + flowRate + income + origin + travelTime,22.94603515,0.74762,
route ~ + children + distance + origin,28.0089617,0.60994,
route ~ + distance + maritalStatus + modelYear + seatBelts + sex,27.35230555,0.70072,
route ~ + age + distance + origin + sex + travelTime,21.71482533,0.81061,
route ~ + lights + maritalStatus + modelYear + origin,37.71879814,0.45964,
route ~ + distance + modelYear + origin + sex + travelTime,26.42931603,0.71871,
route ~ + children + flowRate + lights + sex,19.76708898,0.8096,
route ~ + distance + income + modelYear + seatBelts + sex,27.33714936,0.70101,
route ~ + age + lights + maritalStatus + modelYear + origin,37.64728467,0.50002,
route ~ + children + flowRate + modelYear + origin + seatBelts,23.77727672,0.77041,
route ~ + flowRate + income + lights + seatBelts,19.52866286,0.81424,
route ~ + children + flowRate + origin,23.70683439,0.6938,
route ~ + children + flowRate + lights + seatBelts + sex,20.28139151,0.83856,
route ~ + children + flowRate + maritalStatus + travelTime,24.60769788,0.71523,
